ticker,spot,label,bullish_score,bearish_score,net_score,setups_firing,snapshot_close,snapshot_high_52w,snapshot_low_52w,snapshot_volume_5d_avg
EXC,45.939998626708984,NEUTRAL,0,13.6,-13.6,compression(0.54),45.94,50.65,42.23,8887656
APD,283.1099853515625,NEUTRAL,0,13.5,-13.5,compression(0.54),283.11,307.96,229.11,1643676
ABT,87.83000183105469,NEUTRAL,0,13.3,-13.3,compression(0.53),87.83,139.06,81.97,17389527
FDX,328.7799987792969,NEUTRAL,13.2,0,13.2,compression(0.53),328.78,345.37,174.13,1886891
MMM,163.22000122070312,NEUTRAL,13.0,0,13.0,compression(0.52),163.22,177.41,139.34,4068096
AIG,76.37000274658203,NEUTRAL,0,12.9,-12.9,compression(0.52),76.37,87.29,71.25,4518132
AEP,130.3000030517578,NEUTRAL,0,12.7,-12.7,compression(0.51),130.3,139.44,101.15,6651909
BKNG,167.77000427246094,NEUTRAL,0,12.6,-12.6,compression(0.50),167.77,233.58,150.14,9859032
EOG,132.8300018310547,NEUTRAL,12.5,0,12.5,compression(0.50),132.83,151.87,101.59,5912094
PSX,168.41000366210938,NEUTRAL,17.7,6.8,10.9,"compression(0.71), volume_surge(0.34)",168.41,190.61,118.0,3707792
TIP,108.94000244140625,NEUTRAL,9.8,0,9.8,proximity_52w(0.39),108.94,112.26,108.94,1663759
ROKU,135.1999969482422,NEUTRAL,24.0,20.0,4.0,"volume_surge(1.00), sma_stack(0.80)",135.2,148.88,77.64,17419506
